Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 33, TIDL_DataConvertLayer, 72, 100, 100, 100, 72, 100, 72,  COL, 0, 0, 2500, 10000, 4, 0, 4,,,,,,,,, L2, DMA, 360000, 360000, 1, 360064, 0, 0, MSMC, CPU, 7200, 7200, 50, 360064, 0, 287b00, MSMC, DMA, 7200, 7200, 100, 720128, 0, 2df980, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 36, TIDL_ReshapeLayer, 72, 100, 100, 1, 9, 80000, 72,  COL, 0, 0, 10000, 10000, 4, 0, 4,,,,,,,,, L2, DMA, 10000, 10000, 36, 360064, 0, 0, ,,,,,,,, MSMC, CPU, 720000, 720000, 1, 720128, 0, 2df980, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 39, TIDL_DataConvertLayer, 1, 9, 80000, 1, 9, 80000, 1,  COL, 0, 0, 180000, 720000, 4, 0, 4,,,,,,,,, L2, DMA, 360000, 360000, 1, 360064, 0, 0, MSMC, CPU, 180000, 180000, 2, 360064, 0, 1d7080, DDR, DMA, 720000, 720000, 1, 721024, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 43, TIDL_DataLayer, 1, 9, 80000, 1, 9, 80000, 1, FRAME, 0, 0, 720000, 720000, 1, 0, 1,,,,,,,,, MSMC, DMA, 0, 720000, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 800, 720000, 1, 10241024, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 28, TIDL_ConvolutionLayer, 192, 100, 100, 80, 100, 100, 192, ROW_L, 0, 0, 1024, 10000, 10, 1, 10,,,,,,,,, L2, DMA, 2112, 2112, 192, 413696, 0, 0, ,,,,,,,, MSMC, CPU, 10048, 10000, 80, 803968, 0, 29b500, ,,,,,,,, L2, DMA, 320, 193, 80, 25600, 0, 65000, MSMC, DMA_ONCE, 320, 193, 80, 25600, 0, 7ab180, 
 31, TIDL_DataConvertLayer, 80, 100, 100, 80, 100, 100, 80,  COL, 0, 0, 10000, 10000, 4, 0, 4,,,,,,,,, L2, DMA, 10100, 10100, 40, 404096, 0, 0, ,,,,,,,, MSMC, CPU, 10048, 10000, 80, 803968, 0, 1d7080, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 34, TIDL_DataConvertLayer, 80, 100, 100, 100, 80, 100, 80,  COL, 0, 0, 2500, 10000, 4, 0, 4,,,,,,,,, L2, DMA, 400000, 400000, 1, 400000, 0, 0, MSMC, CPU, 8000, 8000, 50, 400000, 0, 29b500, MSMC, DMA, 8000, 8000, 100, 800128, 0, 2fcf80, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 37, TIDL_ReshapeLayer, 80, 100, 100, 1, 10, 80000, 80,  COL, 0, 0, 10000, 10000, 4, 0, 4,,,,,,,,, L2, DMA, 10000, 10000, 40, 400000, 0, 0, ,,,,,,,, MSMC, CPU, 800000, 800000, 1, 800128, 0, 2fcf80, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 40, TIDL_BatchNormLayer, 1, 10, 80000, 1, 10, 80000, 1,  COL, 0, 0, 200000, 800000, 4, 0, 4,,,,,,,,, L2, DMA, 400000, 400000, 1, 400000, 0, 0, MSMC, CPU, 200000, 200000, 2, 400000, 0, 1d7080, DDR, DMA, 1000000, 800000, 1, 1001088, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 42, TIDL_DataLayer, 1, 10, 80000, 2, 1, 1, 1, FRAME, 0, 0, 800000, 800000, 1, 0, 1,,,,,,,,, MSMC, DMA, 0, 800000, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 800, 1, 2, 10241024, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 29, TIDL_ConvolutionLayer, 192, 100, 100, 16, 100, 100, 192, ROW_L, 0, 0, 1088, 10000, 10, 1, 10,,,,,,,,, L2, DMA, 2240, 2240, 192, 438784, 0, 0, ,,,,,,,, MSMC, CPU, 10048, 10000, 16, 160896, 0, 29b40, ,,,,,,,, L2, DMA, 320, 193, 16, 5120, 0, 6b200, MSMC, DMA_ONCE, 320, 193, 16, 5120, 0, 7b6f80, 
 32, TIDL_DataConvertLayer, 16, 100, 100, 16, 100, 100, 16,  COL, 0, 0, 10000, 10000, 1, 0, 1,,,,,,,,, L2, DMA, 10100, 10100, 16, 161664, 0, 0, ,,,,,,,, MSMC, CPU, 10048, 10000, 16, 160896, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 35, TIDL_DataConvertLayer, 16, 100, 100, 100, 16, 100, 16,  COL, 0, 0, 10000, 10000, 1, 0, 1,,,,,,,,, L2, DMA, 10000, 10000, 16, 160000, 0, 0, MSMC, CPU, 1600, 1600, 100, 0, 0, 27480, MSMC, DMA, 1600, 1600, 100, 160128, 0, 4e580, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 38, TIDL_ReshapeLayer, 16, 100, 100, 2, 1, 1, 16,  COL, 0, 0, 10000, 10000, 1, 0, 1,,,,,,,,, L2, DMA, 10000, 10000, 32, 320000, 0, 0, ,,,,,,,, MSMC, CPU, 1, 1, 2, 160128, 0, 4e580, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 41, TIDL_ArgMaxLayer, 2, 1, 1, 1, 1, 1, 2, ROW_L, 0, 0, 1, 1, 1, 0, 1,,,,,,,,, L2, DMA, 1, 1, 2, 128, 0, 0, MSMC, CPU, 1, 1, 1, 128, 0, 0, DDR, DMA, 1, 1, 1, 81024, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 44, TIDL_ReshapeLayer, 1, 1, 1, 1, 80000, 1, 1,  COL, 0, 0, 1, 1, 1, 0, 1,,,,,,,,, L2, DMA, 1, 1, 1, 128, 0, 0, ,,,,,,,, DDR, CPU, 80000, 80000, 1, 81024, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 45, TIDL_DataConvertLayer, 1, 80000, 1, 1, 80000, 1, 1,  COL, 0, 0, 80000, 80000, 1, 0, 1,,,,,,,,, L2, DMA, 80000, 80000, 1, 80000, 0, 0, MSMC, CPU, 80000, 80000, 2, 160000, 0, 0, DDR, DMA, 80000, 80000, 1, 81024, 0, 13c80, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 46, TIDL_DataLayer, 1, 80000, 1, 100, 80, 100, 1, FRAME, 0, 0, 80000, 80000, 1, 0, 1,,,,,,,,, L2, DMA, 0, 80000, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 800, 8000, 100, 10241024, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
